Event ID,Start Date,Start Time,End Date,End Time,Duration,Event Title,Calendar Name
,2023-01-01,00:00:00,2023-01-02,00:00:00,1440,New Year's Day,Holidays in India
,2023-01-14,00:00:00,2023-01-15,00:00:00,1440,Makar Sankranti,Holidays in India
,2023-01-15,00:00:00,2023-01-16,00:00:00,1440,Pongal,Holidays in India
,2023-01-26,00:00:00,2023-01-27,00:00:00,1440,Republic Day,Holidays in India
,2023-01-26,00:00:00,2023-01-27,00:00:00,1440,Vasant Panchami,Holidays in India
,2023-02-05,00:00:00,2023-02-06,00:00:00,1440,Guru Ravidas Jayanti,Holidays in India
,2023-02-05,00:00:00,2023-02-06,00:00:00,1440,Hazarat Ali's Birthday,Holidays in India
,2023-02-15,00:00:00,2023-02-16,00:00:00,1440,Maharishi Dayanand Saraswati Jayanti,Holidays in India
,2023-02-18,00:00:00,2023-02-19,00:00:00,1440,Maha Shivaratri/Shivaratri,Holidays in India
,2023-02-19,00:00:00,2023-02-20,00:00:00,1440,Shivaji Jayanti,Holidays in India
,2023-03-07,00:00:00,2023-03-08,00:00:00,1440,Holika Dahana,Holidays in India
,2023-03-07,00:00:00,2023-03-08,00:00:00,1440,Dolyatra,Holidays in India
,2023-03-08,00:00:00,2023-03-09,00:00:00,1440,Holi,Holidays in India
,2023-03-22,00:00:00,2023-03-23,00:00:00,1440,Ugadi,Holidays in India
,2023-03-22,00:00:00,2023-03-23,00:00:00,1440,Gudi Padwa,Holidays in India
,2023-03-22,00:00:00,2023-03-23,00:00:00,1440,Chaitra Sukhladi,Holidays in India
,2023-03-24,00:00:00,2023-03-25,00:00:00,1440,Ramadan Start,Holidays in India
,2023-03-30,00:00:00,2023-03-31,00:00:00,1440,Rama Navami,Holidays in India
,2023-04-04,00:00:00,2023-04-05,00:00:00,1440,Mahavir Jayanti,Holidays in India
,2023-04-07,00:00:00,2023-04-08,00:00:00,1440,Good Friday,Holidays in India
,2023-04-09,00:00:00,2023-04-10,00:00:00,1440,Easter Day,Holidays in India
,2023-04-14,00:00:00,2023-04-15,00:00:00,1440,Vaisakhi,Holidays in India
,2023-04-14,00:00:00,2023-04-15,00:00:00,1440,Ambedkar Jayanti,Holidays in India
,2023-04-15,00:00:00,2023-04-16,00:00:00,1440,Mesadi / Vaisakhadi,Holidays in India
,2023-04-21,00:00:00,2023-04-22,00:00:00,1440,Jamat Ul-Vida,Holidays in India
,2023-04-22,00:00:00,2023-04-23,00:00:00,1440,Ramzan Id/Eid-ul-Fitar,Holidays in India
,2023-05-05,00:00:00,2023-05-06,00:00:00,1440,Buddha Purnima/Vesak,Holidays in India
,2023-05-09,00:00:00,2023-05-10,00:00:00,1440,Birthday of Rabindranath,Holidays in India
,2023-06-20,00:00:00,2023-06-21,00:00:00,1440,Rath Yatra,Holidays in India
,2023-06-29,00:00:00,2023-06-30,00:00:00,1440,Bakrid/Eid ul-Adha,Holidays in India
,2023-07-29,00:00:00,2023-07-30,00:00:00,1440,Muharram/Ashura,Holidays in India
,2023-08-15,00:00:00,2023-08-16,00:00:00,1440,Independence Day,Holidays in India
